Date,AAPL,CVX,IBM,XOM,GS,BA,TEVA,CME
1/2/2015,100.755898,92.657646,132.133499,77.444969,181.35466,114.119171,51.704113,73.582397
1/5/2015,97.917427,88.954002,130.054398,75.325943,175.692245,113.328804,50.664879,73.999832
1/6/2015,97.926666,88.912827,127.249619,74.925484,172.138107,111.993965,50.517735,72.872795
1/7/2015,99.299805,88.838737,126.417984,75.684662,174.70343,113.732765,52.623791,73.715973
1/8/2015,103.115128,90.871651,129.16568,76.944412,177.492661,115.743813,52.973267,74.058258
1/9/2015,103.225708,89.060959,129.728256,76.835953,174.768753,115.515457,52.163952,74.125038
1/12/2015,100.682159,87.14328,127.551331,75.359314,172.641846,114.927063,52.430656,73.139931
1/13/2015,101.57608,85.76059,127.852989,75.084,172.51123,115.190536,52.476643,72.739212
1/14/2015,101.189041,85.513672,127.029495,74.867088,168.126892,114.496765,52.145554,70.96936
1/15/2015,98.442726,84.501335,126.026649,74.216362,166.503723,114.286018,52.596199,70.852486
1/16/2015,97.677811,86.517799,128.12204,76.018379,165.328354,114.848045,53.092815,70.994408
1/20/2015,100.193726,87.628876,127.967094,75.99337,163.835815,115.234451,53.745796,71.420166
1/21/2015,100.958649,89.019829,124.00457,76.644066,165.253723,116.27948,53.791779,71.420166
1/22/2015,103.585136,89.645325,126.695168,77.478348,169.815369,119.116013,53.791779,73.941383
1/23/2015,104.119629,87.94162,127.08654,75.8265,168.369446,118.220238,55.070126,73.899635
1/26/2015,104.230232,89.612411,127.486069,76.552299,168.304092,117.737267,54.260803,74.125038
1/27/2015,100.580803,89.102127,125.292831,75.876556,164.638031,116.34095,54.31599,72.939568
1/28/2015,106.266914,85.3573,123.564308,73.373764,161.429031,122.628738,53.27676,71.102951
1/29/2015,109.575378,84.772934,126.76857,73.065071,164.171646,129.777084,52.936481,71.979515
1/30/2015,107.971832,84.386093,124.999298,72.931572,160.832047,127.660675,52.292702,71.211472
2/2/2015,109.326523,87.291435,126.100006,74.733597,163.7052,128.442276,52.697365,72.697479
2/3/2015,109.344986,90.147377,129.206406,76.961105,168.136215,129.390671,52.430656,72.856079
2/4/2015,110.183594,89.176186,127.975258,76.302032,166.774277,129.285278,51.934032,74.509087
